Timestamp_ISO8601,Sum of abundance_cell.uL,Sum of Qc_pg.cell,Sum of Cbiomass_ug.L,Cbiomass_umol.L
2015-07-25T07:01:00-00:00,0.97641836,14.02918057,13.69834948,1.140512167
2015-07-25T07:04:00-00:00,1.036826726,10.86654722,11.26672658,0.938057447
2015-07-25T07:07:00-00:00,1.207168192,10.73100268,12.9541251,1.078548719
2015-07-25T07:10:00-00:00,1.088433021,10.81999143,11.77683596,0.980528692
2015-07-25T07:13:00-00:00,1.015560958,9.844303889,9.997490689,0.832382017
2015-07-25T07:16:00-00:00,1.181246743,10.6500571,12.58034527,1.047428149
2015-07-25T07:19:00-00:00,1.070121186,10.08035222,10.78719848,0.898132372
2015-07-25T07:22:00-00:00,0.976475722,10.38369189,10.13942304,0.844199176
2015-07-25T07:25:00-00:00,1.123216946,9.155937893,10.2841046,0.856245231
2015-07-25T07:28:00-00:00,1.038735967,9.513941222,9.882472939,0.822805743
2015-07-25T07:31:00-00:00,0.913173082,9.714712599,8.871214043,0.738609244
2015-07-25T07:34:00-00:00,1.231869121,10.04119577,12.36943901,1.029868285
2015-07-25T07:37:00-00:00,0.859781247,10.18124913,8.753647081,0.728820725
2015-07-25T07:40:00-00:00,0.985776721,10.68148798,10.5295622,0.876681809
2015-07-25T07:43:00-00:00,1.032458249,11.42438808,11.79520371,0.982057974
2015-07-25T07:47:00-00:00,0.887896859,10.42551621,9.256783098,0.770711374
2015-07-25T07:50:00-00:00,0.892608549,9.859596913,8.80076049,0.732743345
2015-07-25T07:53:00-00:00,1.056713306,11.23424206,11.87137306,0.988399765
2015-07-25T07:56:00-00:00,0.935977302,9.359758494,8.760521505,0.729393083
2015-07-25T07:59:00-00:00,0.979903227,12.16805142,11.92351286,0.992740878
2015-07-25T08:02:00-00:00,0.968947976,10.71121514,10.37861023,0.864113684
2015-07-25T08:05:00-00:00,1.001104692,11.02633399,11.0385147,0.919056733
2015-07-25T08:08:00-00:00,1.10834372,10.0128155,11.09764118,0.92397955
